SIREN,Libellé,2023,2022,2021,2020,2019,2018,2017,2016
512797887,concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,4004,20323,0,0,0,25261,196,0
512797887,immobilisations_en_cours,63122,23081,0,0,0,34994,0,0
512797887,report_a_nouveau,0,2736,0,0,0,0,0,0
512797887,provisions_pour_charges,0,10170,0,4937,4937,0,0,0
512797887,emprunts_et_dettes_financieres_divers,341073,957866,0,510445,510445,0,0,0
512797887,avances_et_acomptes,0,0,0,108578,24196,0,0,0
512797887,dettes_sur_immobilisations_et_comptes_rattaches,0,0,0,114636,28455,0,0,0
512797887,emprunts_participatifs,0,957866,0,0,0,0,0,0
840711550,installations_techniques_materiel_et_outillage_industriels,120116,105728,55006,0,0,0,0,0
840711550,autres_immobilisations_corporelles,5722,408,1554,1449,0,0,0,0
840711550,immobilisations_en_cours,395428,10000,36701,66080,0,0,0,0
840711550,avances_et_acomptes,0,30612,2000,0,0,0,0,0
840711550,autres_participations,682301,667301,667301,544101,349901,287600,0,0
840711550,creances_rattachees_a_des_participations,543667,538462,610256,0,0,0,0,0
840711550,total_i_immobilisations,1747233,1352511,1372817,611631,349901,287600,0,0
840711550,marchandises,2800,2800,8804,17054,100144,0,0,0
840711550,clients_et_comptes_rattaches,503975,402505,263465,655793,198629,4236,0,0
840711550,autres_creances,604052,662913,767882,966627,867219,55073,0,0
840711550,disponibilites,53668,174368,74216,3071,14488,19744,0,0
840711550,charges_constatees_davance,32445,32445,23969,17335,854,0,0,0
840711550,total_ii_actif_circulant,1196940,1275031,1138335,1659880,1181333,79053,0,0
840711550,total_general_actif,2944173,2627542,2511153,2271510,1631234,566653,0,0
840711550,capital_social_ou_individuel,500000,500000,500000,400000,400000,400000,0,0
840711550,report_a_nouveau,0,-12304,-91440,-82350,-21767,0,0,0
840711550,resultat_de_lexercice_benefice_ou_perte,240483,198087,79136,-9090,-60583,-21767,0,0
840711550,provisions_reglementees,9957,7897,5837,3777,1717,0,0,0
840711550,total_i_capital_social,936223,693680,493533,312337,319367,378233,0,0
840711550,emprunts_et_dettes_financieres_divers,1589601,1276496,1758501,1656831,1131061,65790,0,0
840711550,dettes_fournisseurs_et_comptes_rattaches,254634,467295,118150,165440,115648,21923,0,0
840711550,dettes_fiscales_et_sociales,114220,190071,139469,136901,40088,706,0,0
840711550,dettes_sur_immobilisations_et_comptes_rattaches,987,0,1500,0,25000,100000,0,0
840711550,total_iv_dettes,2007950,1933862,2017620,1959173,1311867,188420,0,0
840711550,total_general_passif,2944173,2627542,2511153,2271510,1631234,566653,0,0
840711550,capital_souscrit_non_appele,0,0,0,0,100000,200000,0,0
840711550,total_iii_provisions,0,0,0,0,0,0,0,0
840711550,autres_dettes,68,0,0,0,70,0,0,0
840711550,emprunts_participatifs,1589601,0,0,1656831,1131061,0,0,0
840711550,reserve_legale,9289,0,0,0,0,0,0,0
840711550,autres_reserves,176493,0,0,0,0,0,0,0
840711550,emprunts_et_dettes_aupres_des_etablissements_de_credit,48441,0,0,0,0,0,0,0
321253015,concessions_brevets_et_droits_similaires,1769,705,0,0,0,27,327,0
321253015,constructions,43834,51109,0,0,0,101683,88496,0
321253015,installations_techniques_materiel_et_outillage_industriels,3971,3284,0,0,0,7523,10955,0
321253015,autres_immobilisations_corporelles,45895,6275,0,0,0,28943,32333,0
321253015,total_i_immobilisations,95469,61372,0,0,0,138176,132111,0
321253015,marchandises,11441,15823,0,0,0,12427,14631,0
321253015,autres_creances,3933,8919,0,0,0,21189,18782,0
321253015,disponibilites,50791,100007,0,0,0,78031,123387,0
321253015,charges_constatees_davance,0,568,0,0,0,4873,4995,0
321253015,total_ii_actif_circulant,66164,125316,0,0,0,116520,161795,0
321253015,total_general_actif,161633,186688,0,0,0,254696,293906,0
321253015,capital_social_ou_individuel,15245,15245,0,0,0,15245,15245,0
321253015,reserve_legale,1524,1524,0,0,0,1524,1524,0
321253015,report_a_nouveau,126969,-4612,0,0,0,124726,148407,0
321253015,resultat_de_lexercice_benefice_ou_perte,-17567,131581,0,0,0,70568,77319,0
321253015,total_i_capital_social,126171,143738,0,0,0,212063,242496,0
321253015,emprunts_et_dettes_financieres_divers,0,731,0,0,0,954,804,0
321253015,dettes_fournisseurs_et_comptes_rattaches,10725,9968,0,0,0,12491,14532,0
321253015,dettes_fiscales_et_sociales,20083,32251,0,0,0,29188,36074,0
321253015,total_iv_dettes,35463,42950,0,0,0,42633,51410,0
321253015,total_general_passif,161633,186688,0,0,0,254696,293906,0
321253015,dettes_et_produits_constates_davance_a_moins_dun_an,0,42950,0,0,0,42633,51410,0
321253015,emprunts_participatifs,0,0,0,0,0,954,0,0
321253015,emprunts_et_dettes_aupres_des_etablissements_de_credit,4655,0,0,0,0,0,0,0
847956976,autres_immobilisations_corporelles,0,0,0,27817,24086,0,0,0
847956976,total_i_immobilisations,0,0,0,27967,24086,0,0,0
847956976,avances_et_acomptes_verses_sur_commandes,0,0,0,9746,5017,0,0,0
847956976,clients_et_comptes_rattaches,0,0,0,63600,76704,0,0,0
847956976,autres_creances,0,0,0,6226,36063,0,0,0
847956976,valeurs_mobilieres_de_placement,0,0,0,200,200,0,0,0
847956976,disponibilites,0,0,0,54318,20779,0,0,0
847956976,total_ii_actif_circulant,0,0,0,134089,138763,0,0,0
847956976,total_general_actif,0,0,0,162056,162849,0,0,0
847956976,capital_social_ou_individuel,0,0,0,5000,5000,0,0,0
847956976,resultat_de_lexercice_benefice_ou_perte,0,0,0,16850,60912,0,0,0
847956976,total_i_capital_social,0,0,0,35619,65912,0,0,0
847956976,emprunts_et_dettes_financieres_divers,0,0,0,1994,1605,0,0,0
847956976,dettes_fournisseurs_et_comptes_rattaches,0,0,0,14150,27250,0,0,0
847956976,dettes_fiscales_et_sociales,0,0,0,26150,48685,0,0,0
847956976,autres_dettes,0,0,0,14142,19395,0,0,0
847956976,total_iv_dettes,0,0,0,126437,96936,0,0,0
847956976,total_general_passif,0,0,0,162056,162849,0,0,0
847956976,autres_immobilisations_financieres,0,0,0,150,0,0,0,0
847956976,reserve_legale,0,0,0,500,0,0,0,0
847956976,autres_reserves,0,0,0,13269,0,0,0,0
847956976,emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,70000,0,0,0,0
825326234,concessions_brevets_et_droits_similaires,0,0,952,0,0,0,0,0
825326234,autres_immobilisations_corporelles,0,0,80172,0,0,0,0,0
825326234,autres_participations,0,0,15,0,0,0,0,0
825326234,autres_immobilisations_financieres,0,0,16750,0,0,0,0,0
825326234,total_i_immobilisations,0,0,97889,0,0,0,0,0
825326234,matieres_premieres_approvisionnements,0,0,212,0,0,0,0,0
825326234,marchandises,0,0,330,0,0,0,0,0
825326234,clients_et_comptes_rattaches,0,0,16882,0,0,0,0,0
825326234,autres_creances,0,0,31571,0,0,0,0,0
825326234,disponibilites,0,0,403452,0,0,0,0,0
825326234,charges_constatees_davance,0,0,8806,0,0,0,0,0
825326234,total_ii_actif_circulant,0,0,461253,0,0,0,0,0
825326234,total_general_actif,0,0,559142,0,0,0,0,0
825326234,parts_a_moins_dun_an,0,0,0,0,0,0,0,0
825326234,capital_social_ou_individuel,0,0,4000,0,0,0,0,0
825326234,reserve_legale,0,0,400,0,0,0,0,0
825326234,autres_reserves,0,0,24566,0,0,0,0,0
825326234,resultat_de_lexercice_benefice_ou_perte,0,0,118969,0,0,0,0,0
825326234,total_i_capital_social,0,0,147935,0,0,0,0,0
825326234,emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,234759,0,0,0,0,0
825326234,emprunts_et_dettes_financieres_divers,0,0,7886,0,0,0,0,0
825326234,avances_et_acomptes_recus_sur_commandes_en_cours,0,0,8824,0,0,0,0,0
825326234,dettes_fournisseurs_et_comptes_rattaches,0,0,11455,0,0,0,0,0
825326234,dettes_fiscales_et_sociales,0,0,125554,0,0,0,0,0
825326234,autres_dettes,0,0,22730,0,0,0,0,0
825326234,total_iv_dettes,0,0,411207,0,0,0,0,0
825326234,total_general_passif,0,0,559142,0,0,0,0,0
825326234,dettes_et_produits_constates_davance_a_moins_dun_an,0,0,388996,0,0,0,0,0
513442632,concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
513442632,installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,91995,121625,0
513442632,autres_immobilisations_corporelles,0,0,0,0,0,66218,78894,0
513442632,autres_immobilisations_financieres,0,0,0,0,0,82646,82646,0
513442632,total_i_immobilisations,0,0,0,0,0,240859,283165,0
