name;categorie;sous-categorie
VRV_BUREAU VERITAS EXPLOIT;CAPEX;
VRV_SAONE ET LOIRE;;
VRV_GRAND BESANCON METRO;;
VRV_DRAGER FRANCE SAS;;
VRV_DESAUTEL PROTECTION;;
VRV_MUTAVEIL TL;;
VRV_UMIH -;;
VRV_DIJON METROPOLE;;
VRV_SELECTOUR;;
VRV_AS DE PIC;;
VRV_CURIOUS FACTORY;;
VRV_IP SERVICES;;
VRV_SARL POLYMOUSSE POLY;;
VRV_JUGE NICOLAS JEAN;;
VRV_VERTIC ALPS EXPERTISE;;
VRV_EURL CAVEAU DES;;
VRV_HUMBOO SPOLKA Z;;
VRV_LE SHOP DU;;
VRV_BTP CONSULTANT;;
VRV_DRAGER;;
VRV_MBA ENTERTAINMENT;;
VRV_SARI SECURITE;;
VRV_EARL FERME DU;;
VRV_PRO KARTING;;
VRV_TIBO DEGO;;
VRV_PETIT FONTENAY;;
VRV_BRASSERIE LA MANGOUNE;;
VRV_BRASSERIE JUMIE;;
VRV_BARILLET;;
VRV_SASU GAMES FACTORY;;
VRV_AUBE CLIM;;
VRV_LMC;;
VRV_A S RESINES;;
VRV_D B A;;
VRV_SAS TBMD;;
VRV_BERG BATIMENT;;
VRV_AMCC MAINTENANCE ASSIS;;
VRV_COMMUNE ST JEAN;;
VRV_M SAADE FREDERIC;;
VRV_CARNACUS;;
VRV_SIDER;;
VRV_SP DISTRIBUTION CONSEIL;;
VRV_ETABLISSEMENTS RICOL L;;
VRV_SANICLIM;;
VRV_SCI LES MARQUISES;;
VRV_SCI SF IMMO;CAPEX;Depot de guarantie
VRV_C2PI;;
VRV_JONES LANG LASALLE;Honoraires;
VRV_SCI KIWI;Loyer;
VRV_TPF;;
VRV_AST;;
VRV_MONNAIE;;
VRV_FLYERALARM;;
VRV_IPF IMPRIMERIE;;
VRV_F-;;
VRV_C SIMPLE ET;;
VRV_MCMETALURGIE;;
VRV_SAS HENIN;;
VRV_SAUR;;
VRV_SUEZ;;
VRV_PROFERTEAM;;
VRV_ALLIANZ;;
VRV_SCI CONNEX;Loyer;
VRV_SARL GERMIN;;
VRV_O FFICE DES;;
VRV_SAS LA BROCHE;;
VRV_ALEOU;;
